ID_Pedido,Fecha_pedido,Anio,Mes_num,Mes,Estacion,ID_Cliente,Pais,Region,Ciudad,Segmento_Cliente,Categoria_Producto,Producto,Canal,Campania,Dispositivo,Unidades,Precio_unitario,Descuento_pct,Ingresos,Costo,Ganancia,Devolucion,Satisfaccion,Dias_entrega
ARG-2024-00377,17/02/2024,2024,2,Febrero,Verano,CUST-1036,Mexico,Centro,CDMX,Estandar,Deportes,Reloj Deportivo,Online,Back to School,Tablet,2,227.23,0.115,450.58,274.8,175.78,0,4.5,5
ARG-2024-00384,17/02/2024,2024,2,Febrero,Verano,CUST-1285,Peru,Sierra,Arequipa,Estandar,Belleza,Perfume Urban,Online,Back to School,Desktop,1,76.0,0.113,75.49,40.54,34.95,0,4.3,4
ARG-2024-00751,19/02/2024,2024,2,Febrero,Verano,CUST-1269,Colombia,Caribe,Barranquilla,Estandar,Tecnologia,Parlante Home,Online,Always On,Tablet,1,101.93,0.054,108.04,70.57,37.47,0,4.1,6
ARG-2024-00024,19/02/2024,2024,2,Febrero,Verano,CUST-1046,Mexico,Norte,Monterrey,Premium,Moda,Zapatillas Run,Online,Temporada Alta,Mobile,1,170.37,0.076,176.34,93.0,83.33,0,4.0,3
ARG-2024-00124,21/02/2024,2024,2,Febrero,Verano,CUST-1204,Colombia,Andina,Medellin,Premium,Moda,Jeans Slim,Tienda,Temporada Alta,No Aplica,1,104.33,0.07,108.72,59.13,49.59,0,3.8,1
ARG-2024-00388,21/02/2024,2024,2,Febrero,Verano,CUST-1048,Colombia,Pacifico,Cali,Premium,Hogar,Organizador Cocina,Tienda,Back to School,No Aplica,1,74.01,0.122,72.77,46.08,26.69,0,4.7,1
ARG-2024-00689,22/02/2024,2024,2,Febrero,Verano,CUST-1124,Colombia,Andina,Bogota,Estandar,Tecnologia,Camara Sport,Marketplace,Always On,Desktop,1,280.56,0.037,302.72,213.71,89.0,0,4.0,6
ARG-2024-00048,22/02/2024,2024,2,Febrero,Verano,CUST-1231,Mexico,Centro,Puebla,Premium,Moda,Camisa Oxford,Tienda,Always On,No Aplica,1,77.22,0.066,80.74,48.22,32.52,0,4.4,1
ARG-2024-00203,23/02/2024,2024,2,Febrero,Verano,CUST-1023,Chile,Norte,Antofagasta,Premium,Hogar,Licuadora Pro,Marketplace,Back to School,Mobile,4,121.59,0.117,480.98,307.45,173.53,0,4.2,4
ARG-2024-00525,29/02/2024,2024,2,Febrero,Verano,CUST-1071,Mexico,Occidente,Guadalajara,Estandar,Moda,Zapatillas Run,Tienda,Back to School,No Aplica,2,130.92,0.106,262.23,146.27,115.96,0,3.8,1
ARG-2024-00144,01/03/2024,2024,3,Marzo,Otono,CUST-1099,Colombia,Pacifico,Cali,Estandar,Hogar,Licuadora Pro,Marketplace,Temporada Alta,Tablet,1,95.0,0.082,83.69,54.23,29.46,0,4.9,6
ARG-2024-00589,01/03/2024,2024,3,Marzo,Otono,CUST-1012,Mexico,Centro,Puebla,Estandar,Tecnologia,Smartwatch Fit,Marketplace,Temporada Alta,Desktop,1,214.97,0.091,187.5,147.01,40.49,0,3.7,5
ARG-2024-00627,04/03/2024,2024,3,Marzo,Otono,CUST-1050,Peru,Costa,Trujillo,Premium,Moda,Chaqueta Urbana,Online,Cyber Days,Mobile,1,179.57,0.149,146.77,85.74,61.03,0,4.4,3
ARG-2024-00628,04/03/2024,2024,3,Marzo,Otono,CUST-1272,Chile,Centro,Valparaiso,Premium,Tecnologia,Camara Sport,Tienda,Back to School,No Aplica,3,454.48,0.101,1176.47,847.91,328.56,0,3.9,1
ARG-2024-00340,04/03/2024,2024,3,Marzo,Otono,CUST-1275,Mexico,Centro,Puebla,Estandar,Tecnologia,Smartwatch Fit,Online,Back to School,Desktop,1,221.88,0.07,198.1,150.95,47.14,0,4.2,7
ARG-2024-00122,04/03/2024,2024,3,Marzo,Otono,CUST-1235,Mexico,Centro,Puebla,Basico,Belleza,Perfume Urban,Online,Cyber Days,Mobile,1,88.41,0.218,66.4,35.38,31.03,0,4.0,5
ARG-2024-00301,06/03/2024,2024,3,Marzo,Otono,CUST-1082,Chile,Centro,Valparaiso,Estandar,Moda,Zapatillas Run,Online,Always On,Desktop,2,126.5,0.049,231.07,127.98,103.09,0,4.5,6
ARG-2024-00276,10/03/2024,2024,3,Marzo,Otono,CUST-1173,Chile,Centro,Santiago,Estandar,Hogar,Aspiradora Max,Tienda,No Aplica,No Aplica,1,287.78,0.0,276.27,177.36,98.9,0,3.8,1
ARG-2024-00634,10/03/2024,2024,3,Marzo,Otono,CUST-1259,Mexico,Norte,Monterrey,Estandar,Deportes,Set Mancuernas,Marketplace,Cyber Days,Mobile,3,133.78,0.197,309.41,194.19,115.23,0,4.9,4
ARG-2024-00417,10/03/2024,2024,3,Marzo,Otono,CUST-1212,Colombia,Caribe,Barranquilla,Premium,Deportes,Mat Yoga,Tienda,Temporada Alta,No Aplica,2,48.35,0.09,84.51,56.92,27.6,0,4.2,1
ARG-2024-00178,11/03/2024,2024,3,Marzo,Otono,CUST-1031,Peru,Sierra,Arequipa,Estandar,Tecnologia,Tablet 10,Online,Temporada Alta,Desktop,1,395.27,0.092,344.49,255.58,88.91,0,4.7,2
ARG-2024-00165,12/03/2024,2024,3,Marzo,Otono,CUST-1131,Colombia,Caribe,Barranquilla,Basico,Hogar,Cafetera Plus,Tienda,Back to School,No Aplica,1,96.17,0.086,84.39,52.49,31.9,0,4.5,1
ARG-2024-00207,13/03/2024,2024,3,Marzo,Otono,CUST-1128,Colombia,Andina,Bogota,Estandar,Tecnologia,Smartwatch Fit,Online,Back to School,Tablet,1,213.35,0.112,181.78,121.64,60.15,0,3.9,4
ARG-2024-00239,13/03/2024,2024,3,Marzo,Otono,CUST-1128,Peru,Costa,Lima,Premium,Belleza,Serum Facial,Tienda,Cyber Days,No Aplica,1,51.51,0.164,41.33,20.59,20.74,0,4.2,1
ARG-2024-00446,14/03/2024,2024,3,Marzo,Otono,CUST-1241,Peru,Sierra,Cusco,Basico,Tecnologia,Audifonos Pro,Marketplace,No Aplica,Desktop,3,116.2,0.008,331.94,233.23,98.71,0,4.1,6
ARG-2024-00475,15/03/2024,2024,3,Marzo,Otono,CUST-1146,Chile,Centro,Santiago,Estandar,Hogar,Licuadora Pro,Marketplace,Cyber Days,Desktop,2,114.18,0.148,186.73,119.79,66.95,0,3.8,6
ARG-2024-00737,15/03/2024,2024,3,Marzo,Otono,CUST-1175,Peru,Sierra,Cusco,Basico,Tecnologia,Tablet 10,Tienda,No Aplica,No Aplica,1,305.08,0.036,282.4,203.35,79.05,0,3.8,1
ARG-2024-00691,17/03/2024,2024,3,Marzo,Otono,CUST-1217,Peru,Costa,Lima,Premium,Tecnologia,Parlante Home,Tienda,Always On,No Aplica,1,156.24,0.051,142.34,103.87,38.47,0,4.2,1
ARG-2024-00429,18/03/2024,2024,3,Marzo,Otono,CUST-1129,Chile,Sur,Concepcion,Basico,Hogar,Organizador Cocina,Tienda,Always On,No Aplica,1,47.81,0.079,42.28,27.86,14.41,0,,1
ARG-2024-00289,18/03/2024,2024,3,Marzo,Otono,CUST-1121,Chile,Centro,Santiago,Estandar,Deportes,Set Mancuernas,Online,Temporada Alta,Desktop,1,132.7,0.079,117.36,75.11,42.26,0,4.2,6
ARG-2024-00571,18/03/2024,2024,3,Marzo,Otono,CUST-1293,Mexico,Centro,CDMX,Estandar,Tecnologia,Tablet 10,Tienda,Always On,No Aplica,1,468.12,0.048,427.61,305.62,121.99,0,4.2,1
ARG-2024-00309,20/03/2024,2024,3,Marzo,Otono,CUST-1078,Mexico,Norte,Monterrey,Basico,Tecnologia,Audifonos Pro,Online,Cyber Days,Desktop,1,151.75,0.201,116.47,85.17,31.29,0,4.2,5
ARG-2024-00583,21/03/2024,2024,3,Marzo,Otono,CUST-1159,Chile,Centro,Santiago,Basico,Moda,Bolso Ejecutivo,Marketplace,Back to School,Mobile,1,97.79,0.092,85.23,46.04,39.18,0,4.3,6
ARG-2024-00719,22/03/2024,2024,3,Marzo,Otono,CUST-1225,Chile,Centro,Valparaiso,Estandar,Belleza,Cepillo Electrico,Online,Back to School,Mobile,1,60.19,0.113,51.25,27.0,24.25,0,4.2,6
ARG-2024-00723,23/03/2024,2024,3,Marzo,Otono,CUST-1074,Peru,Costa,Trujillo,Estandar,Moda,Camisa Oxford,Marketplace,Temporada Alta,Desktop,1,59.55,0.07,53.15,28.97,24.18,0,4.4,4
ARG-2024-00130,23/03/2024,2024,3,Marzo,Otono,CUST-1086,Colombia,Pacifico,Cali,Basico,Hogar,Lampara Desk,Online,Cyber Days,Mobile,1,51.51,0.187,40.22,24.02,16.2,0,4.5,4
ARG-2024-00725,24/03/2024,2024,3,Marzo,Otono,CUST-1224,Mexico,Centro,Puebla,Basico,Deportes,Reloj Deportivo,Tienda,No Aplica,No Aplica,1,203.02,0.035,188.01,115.14,72.87,0,3.9,1
ARG-2024-00750,25/03/2024,2024,3,Marzo,Otono,CUST-1130,Chile,Norte,Antofagasta,Premium,Tecnologia,Audifonos Pro,Tienda,Back to School,No Aplica,2,200.46,0.102,345.59,244.81,100.78,0,4.3,3
ARG-2024-00041,27/03/2024,2024,3,Marzo,Otono,CUST-1172,Chile,Centro,Valparaiso,Estandar,Moda,Jeans Slim,Online,Always On,Desktop,2,86.54,0.092,150.83,81.79,69.05,0,4.7,4
ARG-2024-00335,27/03/2024,2024,3,Marzo,Otono,CUST-1014,Chile,Centro,Santiago,Premium,Deportes,Set Mancuernas,Online,Always On,Mobile,1,162.87,0.056,147.62,96.39,51.23,0,4.4,4
ARG-2024-00479,28/03/2024,2024,3,Marzo,Otono,CUST-1225,Chile,Centro,Santiago,Basico,Tecnologia,Tablet 10,Tienda,Cyber Days,No Aplica,2,326.24,0.192,505.99,354.62,151.38,0,3.8,3
ARG-2024-00247,29/03/2024,2024,3,Marzo,Otono,CUST-1179,Mexico,Norte,Monterrey,Premium,Tecnologia,Parlante Home,Online,No Aplica,Desktop,1,161.41,0.046,147.88,101.35,46.52,0,4.9,2
ARG-2024-00283,29/03/2024,2024,3,Marzo,Otono,CUST-1140,Chile,Centro,Santiago,Basico,Moda,Camisa Oxford,Marketplace,Always On,Mobile,2,58.93,0.04,108.58,58.72,49.86,0,4.3,6
ARG-2024-00389,30/03/2024,2024,3,Marzo,Otono,CUST-1082,Mexico,Norte,Monterrey,Premium,Deportes,Mat Yoga,Tienda,Temporada Alta,No Aplica,1,44.37,0.05,40.45,23.79,16.66,0,4.3,2
ARG-2024-00678,31/03/2024,2024,3,Marzo,Otono,CUST-1219,Colombia,Pacifico,Cali,Estandar,Tecnologia,Camara Sport,Online,Back to School,Desktop,1,277.58,0.098,240.24,182.22,58.02,0,3.6,4
ARG-2024-00070,02/04/2024,2024,4,Abril,Otono,CUST-1292,Mexico,Norte,Monterrey,Estandar,Tecnologia,Parlante Home,Online,Temporada Alta,Mobile,1,149.72,0.102,129.04,94.3,34.74,0,4.1,5
ARG-2024-00148,08/04/2024,2024,4,Abril,Otono,CUST-1143,Mexico,Norte,Monterrey,Basico,Tecnologia,Parlante Home,Tienda,Always On,No Aplica,3,102.6,0.013,291.52,201.07,90.45,0,5.0,2
ARG-2024-00311,09/04/2024,2024,4,Abril,Otono,CUST-1117,Chile,Sur,Concepcion,Estandar,Tecnologia,Parlante Home,Tienda,Always On,No Aplica,4,135.1,0.054,490.5,350.9,139.6,0,3.9,1
ARG-2024-00390,10/04/2024,2024,4,Abril,Otono,CUST-1072,Chile,Centro,Valparaiso,Estandar,Moda,Camisa Oxford,Tienda,Always On,No Aplica,2,61.14,0.069,109.29,59.76,49.53,0,4.5,3
ARG-2024-00545,10/04/2024,2024,4,Abril,Otono,CUST-1210,Chile,Centro,Valparaiso,Estandar,Tecnologia,Smartwatch Fit,Online,Cyber Days,Desktop,3,273.51,0.177,648.4,477.8,170.6,0,4.8,3
ARG-2024-00066,10/04/2024,2024,4,Abril,Otono,CUST-1075,Mexico,Norte,Monterrey,Premium,Moda,Chaqueta Urbana,Marketplace,Cyber Days,Tablet,1,193.87,0.184,151.8,76.57,75.23,0,4.7,7
ARG-2024-00607,13/04/2024,2024,4,Abril,Otono,CUST-1003,Colombia,Andina,Bogota,Premium,Hogar,Lampara Desk,Online,Cyber Days,Desktop,1,85.73,0.162,68.95,44.75,24.2,0,3.8,4
ARG-2024-00660,15/04/2024,2024,4,Abril,Otono,CUST-1199,Colombia,Caribe,Barranquilla,Premium,Deportes,Reloj Deportivo,Tienda,Back to School,No Aplica,1,232.22,0.135,192.92,127.82,65.1,0,4.6,1
ARG-2024-00348,15/04/2024,2024,4,Abril,Otono,CUST-1047,Mexico,Centro,CDMX,Premium,Belleza,Secador Ionic,Tienda,No Aplica,No Aplica,1,115.78,0.0,111.15,54.61,56.54,0,4.4,2
ARG-2024-00168,15/04/2024,2024,4,Abril,Otono,CUST-1136,Peru,Sierra,Cusco,Basico,Belleza,Kit Skin Care,Online,Always On,Mobile,1,56.85,0.027,53.08,28.71,24.37,0,4.4,5
ARG-2024-00249,16/04/2024,2024,4,Abril,Otono,CUST-1129,Colombia,Pacifico,Cali,Premium,Tecnologia,Parlante Home,Tienda,No Aplica,No Aplica,1,159.09,0.0,152.73,118.51,34.21,0,3.8,1
ARG-2024-00224,19/04/2024,2024,4,Abril,Otono,CUST-1156,Chile,Sur,Concepcion,Basico,Moda,Camisa Oxford,Tienda,Always On,No Aplica,1,59.48,0.017,56.14,30.62,25.52,0,4.5,2
ARG-2024-00701,19/04/2024,2024,4,Abril,Otono,CUST-1266,Colombia,Pacifico,Cali,Premium,Tecnologia,Tablet 10,Online,Always On,Mobile,2,527.61,0.069,942.9,677.78,265.12,0,4.0,5
ARG-2024-00143,20/04/2024,2024,4,Abril,Otono,CUST-1154,Peru,Sierra,Cusco,Basico,Tecnologia,Camara Sport,Online,No Aplica,Mobile,1,168.1,0.0,161.37,115.17,46.2,0,4.2,3
ARG-2024-00499,21/04/2024,2024,4,Abril,Otono,CUST-1114,Colombia,Pacifico,Cali,Estandar,Belleza,Cepillo Electrico,Online,Back to School,Mobile,1,59.64,0.109,51.02,24.63,26.39,0,3.6,6
ARG-2024-00461,21/04/2024,2024,4,Abril,Otono,CUST-1298,Colombia,Andina,Medellin,Estandar,Tecnologia,Parlante Home,Online,No Aplica,Desktop,1,125.41,0.01,119.2,90.23,28.97,0,4.5,3
ARG-2024-00423,23/04/2024,2024,4,Abril,Otono,CUST-1178,Mexico,Norte,Monterrey,Premium,Moda,Chaqueta Urbana,Marketplace,Always On,Mobile,1,172.45,0.035,159.79,91.74,68.05,0,4.3,4
ARG-2024-00582,24/04/2024,2024,4,Abril,Otono,CUST-1041,Peru,Sierra,Arequipa,Basico,Moda,Camisa Oxford,Online,Always On,Mobile,1,45.34,0.071,40.42,21.52,18.91,0,4.7,3
ARG-2024-00682,24/04/2024,2024,4,Abril,Otono,CUST-1081,Chile,Centro,Valparaiso,Estandar,Tecnologia,Smartwatch Fit,Online,Cyber Days,Mobile,1,230.45,0.192,178.74,127.85,50.88,0,4.6,4
ARG-2024-00074,25/04/2024,2024,4,Abril,Otono,CUST-1280,Chile,Norte,Antofagasta,Premium,Hogar,Lampara Desk,Online,Temporada Alta,Mobile,1,93.53,0.046,85.69,53.36,32.32,0,4.2,4
ARG-2024-00264,27/04/2024,2024,4,Abril,Otono,CUST-1211,Peru,Costa,Lima,Basico,Moda,Zapatillas Run,Tienda,Temporada Alta,No Aplica,1,89.91,0.08,79.42,43.69,35.73,0,4.3,1
ARG-2024-00324,28/04/2024,2024,4,Abril,Otono,CUST-1113,Colombia,Pacifico,Cali,Estandar,Deportes,Bicicleta Indoor,Online,No Aplica,Mobile,3,536.49,0.019,1516.5,1010.54,505.96,0,3.5,3
ARG-2024-00699,01/05/2024,2024,5,Mayo,Otono,CUST-1104,Mexico,Centro,CDMX,Basico,Deportes,Reloj Deportivo,Marketplace,Temporada Alta,Mobile,1,157.29,0.092,137.14,87.63,49.51,0,3.5,6
ARG-2024-00105,01/05/2024,2024,5,Mayo,Otono,CUST-1060,Colombia,Caribe,Barranquilla,Estandar,Hogar,Organizador Cocina,Tienda,No Aplica,No Aplica,2,41.74,0.0,80.14,47.96,32.18,0,4.4,2
ARG-2024-00194,01/05/2024,2024,5,Mayo,Otono,CUST-1052,Mexico,Centro,Puebla,Estandar,Belleza,Kit Skin Care,Marketplace,Temporada Alta,Mobile,1,73.57,0.08,64.99,33.12,31.87,0,4.9,5
ARG-2024-00111,02/05/2024,2024,5,Mayo,Otono,CUST-1067,Chile,Norte,Antofagasta,Basico,Moda,Camisa Oxford,Marketplace,No Aplica,Mobile,2,58.57,0.0,112.46,59.95,52.51,0,4.4,6
ARG-2024-00240,02/05/2024,2024,5,Mayo,Otono,CUST-1255,Peru,Sierra,Arequipa,Estandar,Moda,Camisa Oxford,Marketplace,Always On,Mobile,1,51.94,0.059,46.9,25.8,21.1,0,3.7,6
ARG-2024-00402,02/05/2024,2024,5,Mayo,Otono,CUST-1182,Colombia,Andina,Medellin,Estandar,Hogar,Aspiradora Max,Marketplace,Always On,Desktop,1,248.27,0.054,225.53,139.57,85.97,0,3.7,4
ARG-2024-00180,05/05/2024,2024,5,Mayo,Otono,CUST-1267,Peru,Sierra,Arequipa,Estandar,Hogar,Cafetera Plus,Online,Back to School,Mobile,3,103.95,0.138,257.99,165.0,92.99,0,4.2,5
ARG-2024-00600,05/05/2024,2024,5,Mayo,Otono,CUST-1255,Mexico,Centro,CDMX,Estandar,Deportes,Set Mancuernas,Tienda,Temporada Alta,No Aplica,1,117.55,0.069,105.07,66.91,38.16,0,4.1,1
ARG-2024-00618,05/05/2024,2024,5,Mayo,Otono,CUST-1162,Peru,Sierra,Arequipa,Basico,Moda,Bolso Ejecutivo,Online,Cyber Days,Desktop,1,86.03,0.173,68.27,34.33,33.94,0,4.0,3
ARG-2024-00727,06/05/2024,2024,5,Mayo,Otono,CUST-1037,Colombia,Andina,Medellin,Estandar,Moda,Jeans Slim,Online,Cyber Days,Mobile,2,80.25,0.192,124.44,70.35,54.09,0,5.0,4
ARG-2024-00258,06/05/2024,2024,5,Mayo,Otono,CUST-1104,Chile,Centro,Santiago,Premium,Hogar,Organizador Cocina,Online,Back to School,Mobile,1,62.13,0.098,53.79,31.78,22.01,0,4.3,5
ARG-2024-00210,06/05/2024,2024,5,Mayo,Otono,CUST-1202,Chile,Centro,Santiago,Basico,Belleza,Serum Facial,Tienda,Cyber Days,No Aplica,2,41.45,0.16,66.81,33.99,32.82,0,4.7,2
ARG-2024-00515,07/05/2024,2024,5,Mayo,Otono,CUST-1012,Peru,Costa,Trujillo,Estandar,Tecnologia,Audifonos Pro,Online,Temporada Alta,Desktop,1,140.36,0.081,123.77,95.05,28.72,0,3.6,2
ARG-2024-00588,07/05/2024,2024,5,Mayo,Otono,CUST-1023,Colombia,Pacifico,Cali,Estandar,Deportes,Bicicleta Indoor,Online,Cyber Days,Tablet,2,501.26,0.172,796.69,525.09,271.6,0,4.5,3
ARG-2024-00529,07/05/2024,2024,5,Mayo,Otono,CUST-1211,Peru,Sierra,Cusco,Estandar,Moda,Camisa Oxford,Online,Temporada Alta,Desktop,1,49.9,0.092,43.5,22.58,13.1,1,2.8,5
ARG-2024-00674,07/05/2024,2024,5,Mayo,Otono,CUST-1166,Peru,Costa,Trujillo,Estandar,Tecnologia,Tablet 10,Tienda,Always On,No Aplica,1,352.8,0.031,328.27,239.2,89.07,0,4.7,1
ARG-2024-00391,07/05/2024,2024,5,Mayo,Otono,CUST-1094,Chile,Centro,Santiago,Premium,Hogar,Organizador Cocina,Online,No Aplica,Mobile,2,70.13,0.0,134.65,84.37,50.29,0,4.0,3
ARG-2024-00003,08/05/2024,2024,5,Mayo,Otono,CUST-1150,Peru,Costa,Lima,Estandar,Tecnologia,Smartwatch Fit,Online,Cyber Days,Mobile,1,183.16,0.183,143.64,101.5,42.13,0,3.6,3
ARG-2024-00246,08/05/2024,2024,5,Mayo,Otono,CUST-1175,Mexico,Occidente,Guadalajara,Estandar,Tecnologia,Parlante Home,Tienda,Always On,No Aplica,1,137.45,0.037,127.09,97.78,29.31,0,5.0,1
ARG-2024-00115,08/05/2024,2024,5,Mayo,Otono,CUST-1016,Mexico,Occidente,Guadalajara,Estandar,Hogar,Lampara Desk,Online,Always On,Desktop,1,76.16,0.013,72.19,44.18,28.01,0,5.0,5
ARG-2024-00094,09/05/2024,2024,5,Mayo,Otono,CUST-1230,Chile,Norte,Antofagasta,Premium,Tecnologia,Parlante Home,Tienda,Cyber Days,No Aplica,2,164.64,0.192,255.51,174.07,81.44,0,3.8,1
